,location-long,location-lat,acceleration-raw-z,acceleration-raw-y,external-temperature,ground-speed,height-above-ellipsoid,index,cluster
3644,-1.7940066666699999,51.065329999999996,0.796875,3.990234375,25.1,1.1523555555555556,262.0,3644,3
6710,-1.79744333333,51.0650266667,-0.69140625,4.458984375,35.9,1.3169777777777776,0.0,6710,2
7450,-1.79739166667,51.0650133333,0.08203125,4.171875,29.0,0.4938666666666666,114.0,7450,0
10094,-1.7668549999999998,51.02848666666701,0.08203125,4.03125,26.0,0.8231111111111111,154.0,10094,1
13061,-1.79659166667,51.0649566667,-0.703125,4.037109375,26.9,1.1523555555555556,60.0,13061,4
